X,Y,GID,Extern ID,Straat,Plaats,Categorie,Subcategori,Status,Uitv.datum,Uitv.tijd,Verw.tijd
6.20313168508376,52.1582817286354,15711,,IJSLANDSESTRAAT,,Watergeven 2026,,niet verwerkt,,,0
6.04782156480331,52.1540134625002,15712,,KLARENBEEKSEWEG,,Watergeven 2026,,niet verwerkt,,,0
6.04125647048919,52.1405439260452,15713,,KLARENBEEKSEWEG,,Watergeven 2026,,niet verwerkt,,,0
6.04749233762045,52.1536249828007,15714,,KLARENBEEKSEWEG,,Watergeven 2026,,niet verwerkt,,,0
6.04127376758283,52.1404620366317,15715,,KLARENBEEKSEWEG,,Watergeven 2026,,niet verwerkt,,,0
6.04128807048682,52.1403853481038,15716,,KLARENBEEKSEWEG,,Watergeven 2026,,niet verwerkt,,,0
6.04361812867847,52.1479118357944,15717,,KLARENBEEKSEWEG,,Watergeven 2026,,niet verwerkt,,,0
6.12492795037842,52.2146523651552,15718,,MOLENALLEE,,Watergeven 2026,,niet verwerkt,,,0
6.30244170814133,52.0043005691694,15719,,HUMMELOSEWEG,,Watergeven 2026,,niet verwerkt,,,0
6.30256134153026,52.004331270389,15720,,HUMMELOSEWEG,,Watergeven 2026,,niet verwerkt,,,0
6.21990132022257,51.9610484749108,15721,,N815,,Watergeven 2026,,niet verwerkt,,,0
6.05375612560094,52.236946095863,15722,,RIJKSSTRAATWEG,,Watergeven 2026,,niet verwerkt,,,0
6.13662899781034,52.2165035650345,15723,,MOLENALLEE,,Watergeven 2026,,niet verwerkt,,,0
6.1370815336421,52.2165790528194,15724,,MOLENALLEE,,Watergeven 2026,,niet verwerkt,,,0
6.13327311677607,52.0672401791159,15725,,ARNHEMSESTRAAT,,Watergeven 2026,,niet verwerkt,,,0
6.1361771373003,52.0694773728615,15726,,ARNHEMSESTRAAT,,Watergeven 2026,,niet verwerkt,,,0
6.13136531950952,52.0657709098688,15727,,ARNHEMSESTRAAT,,Watergeven 2026,,niet verwerkt,,,0
6.13350320846264,52.0674214262945,15728,,ARNHEMSESTRAAT,,Watergeven 2026,,niet verwerkt,,,0
6.13672420247827,52.0698964185585,15729,,ARNHEMSESTRAAT,,Watergeven 2026,,niet verwerkt,,,0
5.96211669574513,52.1659361315704,15730,,ARNHEMSEWEG,,Watergeven 2026,,niet verwerkt,,,0
5.95883381582166,52.1361482701213,15731,,ARNHEMSEWEG,,Watergeven 2026,,niet verwerkt,,,0
6.08742291800085,52.0963316523204,15732,,BRUMMENSEWEG,,Watergeven 2026,,niet verwerkt,,,0
6.1380466123319,52.2366758272836,15733,,BUDDEZAND,,Watergeven 2026,,niet verwerkt,,,0
6.1380318601823,52.2366544736363,15734,,BUDDEZAND,,Watergeven 2026,,niet verwerkt,,,0
6.11093231783069,52.0488661144965,15735,,BURGEMEESTER DE BRUINSTRAAT,,Watergeven 2026,,niet verwerkt,,,0
6.110672143556,52.0487935351389,15736,,BURGEMEESTER DE BRUINSTRAAT,,Watergeven 2026,,niet verwerkt,,,0
6.11170820670818,52.0500130199436,15737,,BURGEMEESTER WILLEMSESTRAAT,,Watergeven 2026,,niet verwerkt,,,0
6.15698566405685,52.0076025370074,15738,,DE DREMPTER DIJK,,Watergeven 2026,,niet verwerkt,,,0
5.98972865674553,51.9866818232795,15739,,A348,,Watergeven 2026,,niet verwerkt,,,0
6.12853436660319,52.2407258249035,15740,,VERMEERSWEG,,Watergeven 2026,,niet verwerkt,,,0
6.12823493261718,52.2408216805247,15741,,VERMEERSWEG,,Watergeven 2026,,niet verwerkt,,,0
6.13172927089894,52.066050161708,15742,,ARNHEMSESTRAAT,,Watergeven 2026,,niet verwerkt,,,0
6.23400546438116,52.123121260577,15743,,N314,,Watergeven 2026,,niet verwerkt,,,0
6.21719566978207,52.1218315967869,15744,,N314,,Watergeven 2026,,niet verwerkt,,,0
6.24844763532822,52.124137739911,15745,,N314,,Watergeven 2026,,niet verwerkt,,,0
6.24885855965956,52.1242054397033,15746,,N314,,Watergeven 2026,,niet verwerkt,,,0
6.0370750309023,52.1326707710105,15747,,HOOFDWEG,,Watergeven 2026,,niet verwerkt,,,0
6.30162144902862,52.004167096995,15748,,HUMMELOSEWEG,,Watergeven 2026,,niet verwerkt,,,0
6.25852889837798,52.1308943287552,15749,,N314,,Watergeven 2026,,niet verwerkt,,,0
6.22422677319817,52.1224145615261,15750,,N314,,Watergeven 2026,,niet verwerkt,,,0
6.25356187274295,52.125585868267,15751,,N314,,Watergeven 2026,,niet verwerkt,,,0
6.30020290476656,52.0990990629547,15752,,N316,,Watergeven 2026,,niet verwerkt,,,0
6.26078850234274,52.1333394250749,15753,,N319,,Watergeven 2026,,niet verwerkt,,,0
6.12621584976881,52.2408168844009,15754,,VERMEERSWEG,,Watergeven 2026,,niet verwerkt,,,0
6.12933511286068,52.2396909440795,15755,,VERMEERSWEG,,Watergeven 2026,,niet verwerkt,,,0
6.12932024500114,52.2398505369454,15756,,VERMEERSWEG,,Watergeven 2026,,niet verwerkt,,,0
6.12938124012894,52.2402143015811,15757,,VERMEERSWEG,,Watergeven 2026,,niet verwerkt,,,0
6.12932463432086,52.2400530749775,15758,,VERMEERSWEG,,Watergeven 2026,,niet verwerkt,,,0
6.12931983461513,52.2403486812198,15759,,VERMEERSWEG,,Watergeven 2026,,niet verwerkt,,,0
6.12933661053274,52.2405518311089,15760,,VERMEERSWEG,,Watergeven 2026,,niet verwerkt,,,0
6.12900068102417,52.2406172478443,15761,,VERMEERSWEG,,Watergeven 2026,,niet verwerkt,,,0
6.12873856964802,52.2406901416989,15762,,VERMEERSWEG,,Watergeven 2026,,niet verwerkt,,,0
6.1377290611354,52.2166894805317,15763,,MOLENALLEE,,Watergeven 2026,,niet verwerkt,,,0
6.1343853299672,52.2160976869985,15764,,MOLENALLEE,,Watergeven 2026,,niet verwerkt,,,0
6.13424317288927,52.2160713934017,15765,,MOLENALLEE,,Watergeven 2026,,niet verwerkt,,,0
6.13784171391412,52.2167157737626,15766,,MOLENALLEE,,Watergeven 2026,,niet verwerkt,,,0
6.1380053286642,52.2167420669779,15767,,MOLENALLEE,,Watergeven 2026,,niet verwerkt,,,0
6.14555829514302,52.0769059122545,15768,,ARNHEMSESTRAAT,,Watergeven 2026,,niet verwerkt,,,0
5.95893040460007,52.1567084148491,15769,,ARNHEMSEWEG,,Watergeven 2026,,niet verwerkt,,,0
6.13800369945602,52.2366758313228,15770,,BUDDEZAND,,Watergeven 2026,,niet verwerkt,,,0
